"","parent_image","image","official","link","pull_count","star_count","parent_image","lib_count","total_high_vuls","total_not_high_vuls","total_vuls"
"1","nginx","nginx",1,"https://hub.docker.com/_/nginx",10000000,10000,"nginx",118,3,40,43
"2","nginx","bitwarden/nginx",0,"https://hub.docker.com/r/bitwarden/nginx",5000000,3,"nginx",134,4,41,45
"3","nginx","arm64v8/nginx",0,"https://hub.docker.com/r/arm64v8/nginx",1000000,19,"nginx",118,3,40,43
"4","nginx","ppc64le/nginx",0,"https://hub.docker.com/r/ppc64le/nginx",1000000,1,"nginx",118,3,40,43
"5","nginx","schmunk42/nginx",0,"https://hub.docker.com/r/schmunk42/nginx",500000,1,"nginx",86,0,0,0
"6","nginx","edyan/nginx",0,"https://hub.docker.com/r/edyan/nginx",500000,1,"nginx",124,3,44,47
"7","nginx","amd64/nginx",0,"https://hub.docker.com/r/amd64/nginx",100000,2,"nginx",118,3,40,43
"8","nginx","s390x/nginx",0,"https://hub.docker.com/r/s390x/nginx",100000,1,"nginx",118,3,40,43
"9","nginx","i386/nginx",0,"https://hub.docker.com/r/i386/nginx",100000,1,"nginx",118,3,40,43
"10","nginx","ipunktbs/nginx",0,"https://hub.docker.com/r/ipunktbs/nginx",100000,-1,"nginx",130,2,24,26
"11","nginx","nvucinic/nginx",0,"https://hub.docker.com/r/nvucinic/nginx",100000,3,"nginx",151,1,20,21
"12","nginx","cloneme/nginx",0,"https://hub.docker.com/r/cloneme/nginx",50000,-1,"nginx",190,1,21,22
"13","nginx","an0t8/nginx",0,"https://hub.docker.com/r/an0t8/nginx",50000,-1,"nginx",121,2,36,38
"14","nginx","freenas/nginx",0,"https://hub.docker.com/r/freenas/nginx",50000,3,"nginx",140,3,31,34
"15","nginx","architek/nginx",0,"https://hub.docker.com/r/architek/nginx",50000,-1,"nginx",109,2,44,46
"16","nginx","kardasz/nginx",0,"https://hub.docker.com/r/kardasz/nginx",10000,-1,"nginx",132,1,20,21
"17","nginx","iadvize/nginx",0,"https://hub.docker.com/r/iadvize/nginx",500000,-1,"nginx",155,1,31,32
"18","nginx","fastwhitecat/nginx",0,"https://hub.docker.com/r/fastwhitecat/nginx",10000,4,"nginx",162,1,25,26
"19","nginx","verbling/nginx",0,"https://hub.docker.com/r/verbling/nginx",10000,-1,"nginx",108,1,18,19
"20","nginx","autopilotpattern/nginx",0,"https://hub.docker.com/r/autopilotpattern/nginx",10000,5,"nginx",143,1,17,18
"21","nginx","ley21/nginx",0,"https://hub.docker.com/r/ley21/nginx",10000,-1,"nginx",121,2,21,23
"22","nginx","pam79/nginx",0,"https://hub.docker.com/r/pam79/nginx",10000,-1,"nginx",118,3,40,43
"23","nginx","gregbk/nginx",0,"https://hub.docker.com/r/gregbk/nginx",100000,-1,"nginx",140,3,31,34
"24","nginx","c4tech/nginx",0,"https://hub.docker.com/r/c4tech/nginx",10000,-1,"nginx",108,2,36,38
"25","nginx","bearstech/nginx",0,"https://hub.docker.com/r/bearstech/nginx",8300,-1,"nginx",168,2,62,64
"26","nginx","frekele/nginx",0,"https://hub.docker.com/r/frekele/nginx",6200,4,"nginx",177,2,44,46
"27","nginx","vixlet/nginx",0,"https://hub.docker.com/r/vixlet/nginx",8800,1,"nginx",108,1,18,19
"28","nginx","jkoreska/nginx",0,"https://hub.docker.com/r/jkoreska/nginx",50000,-1,"nginx",86,0,0,0
"29","nginx","maersk/nginx",0,"https://hub.docker.com/r/maersk/nginx",10000,-1,"nginx",140,1,20,21
"30","nginx","mishamx/nginx",0,"https://hub.docker.com/r/mishamx/nginx",3200,-1,"nginx",131,3,40,43
"31","nginx","extremeshok/nginx",0,"https://hub.docker.com/r/extremeshok/nginx",10000,1,"nginx",98,3,37,40
"32","nginx","rgrmarketing/nginx",0,"https://hub.docker.com/r/rgrmarketing/nginx",10000,-1,"nginx",118,2,54,56
"33","nginx","ohmcoe/nginx",0,"https://hub.docker.com/r/ohmcoe/nginx",2900,-1,"nginx",118,3,40,43
"34","nginx","ardeveloppement/nginx",0,"https://hub.docker.com/r/ardeveloppement/nginx",2800,-1,"nginx",201,4,60,64
"35","nginx","garlic/nginx",0,"https://hub.docker.com/r/garlic/nginx",10000,1,"nginx",179,3,57,60
"36","nginx","centerx/nginx",0,"https://hub.docker.com/r/centerx/nginx",2300,-1,"nginx",118,3,39,42
"37","nginx","maxexcloo/nginx",0,"https://hub.docker.com/r/maxexcloo/nginx",2200,7,"nginx",200,1,33,34
"38","nginx","myprod/nginx",0,"https://hub.docker.com/r/myprod/nginx",1900,1,"nginx",122,3,57,60
"39","nginx","krispharper/nginx",0,"https://hub.docker.com/r/krispharper/nginx",10000,-1,"nginx",156,2,29,31
"40","nginx","wildme/nginx",0,"https://hub.docker.com/r/wildme/nginx",2200,-1,"nginx",108,2,39,41
"41","nginx","talklead/nginx",0,"https://hub.docker.com/r/talklead/nginx",10000,-1,"nginx",113,2,36,38
"42","nginx","mystrength/nginx",0,"https://hub.docker.com/r/mystrength/nginx",1600,-1,"nginx",177,3,43,46
"43","nginx","rainist/nginx",0,"https://hub.docker.com/r/rainist/nginx",1900,-1,"nginx",143,3,43,46
"44","nginx","dockette/nginx",0,"https://hub.docker.com/r/dockette/nginx",1800,3,"nginx",141,3,59,62
"45","nginx","extendedmind/nginx",0,"https://hub.docker.com/r/extendedmind/nginx",10000,-1,"nginx",140,1,20,21
"46","nginx","tianon/nginx",0,"https://hub.docker.com/r/tianon/nginx",1500,1,"nginx",140,3,31,34
"47","nginx","toru2220/nginx",0,"https://hub.docker.com/r/toru2220/nginx",1700,-1,"nginx",108,2,41,43
"48","nginx","yappabe/nginx",0,"https://hub.docker.com/r/yappabe/nginx",10000,3,"nginx",174,3,51,54
"49","nginx","vrtsystems/nginx",0,"https://hub.docker.com/r/vrtsystems/nginx",2200,-1,"nginx",173,5,71,76
"50","nginx","infomir/nginx",0,"https://hub.docker.com/r/infomir/nginx",1400,-1,"nginx",142,5,57,62
"51","nginx","gridium/nginx",0,"https://hub.docker.com/r/gridium/nginx",10000,-1,"nginx",108,2,41,43
"52","nginx","meuralnetgear/nginx",0,"https://hub.docker.com/r/meuralnetgear/nginx",1400,-1,"nginx",118,3,37,40
"53","nginx","mygento/nginx",0,"https://hub.docker.com/r/mygento/nginx",10000,-1,"nginx",151,3,59,62
"54","nginx","raisoft2008/nginx",0,"https://hub.docker.com/r/raisoft2008/nginx",10000,-1,"nginx",139,3,53,56
"55","nginx","exadra37/nginx",0,"https://hub.docker.com/r/exadra37/nginx",1800,1,"nginx",108,2,36,38
"56","nginx","nymediaas/nginx",0,"https://hub.docker.com/r/nymediaas/nginx",1000,-1,"nginx",108,2,36,38
"57","nginx","yannickvh/nginx",0,"https://hub.docker.com/r/yannickvh/nginx",1500,-1,"nginx",108,2,36,38
"58","nginx","alang/nginx",0,"https://hub.docker.com/r/alang/nginx",1700,-1,"nginx",108,2,41,43
"59","nginx","yavende/nginx",0,"https://hub.docker.com/r/yavende/nginx",1100,-1,"nginx",142,1,20,21
"60","nginx","hubberonline/nginx",0,"https://hub.docker.com/r/hubberonline/nginx",9100,-1,"nginx",179,3,60,63
"61","nginx","yavende/nginx",0,"https://hub.docker.com/r/yavende/nginx",1100,-1,"nginx",142,1,20,21
"62","nginx","cmptstks/nginx",0,"https://hub.docker.com/r/cmptstks/nginx",9000,-1,"nginx",108,2,41,43
"63","nginx","liorsep/nginx",0,"https://hub.docker.com/r/liorsep/nginx",8800,-1,"nginx",108,2,44,46
"64","nginx","datenbetrieb/nginx",0,"https://hub.docker.com/r/datenbetrieb/nginx",1100,-1,"nginx",215,5,63,68
"65","nginx","webfatorial/nginx",0,"https://hub.docker.com/r/webfatorial/nginx",986,-1,"nginx",108,2,21,23
"66","nginx","desertbit/nginx",0,"https://hub.docker.com/r/desertbit/nginx",1000,1,"nginx",108,2,36,38
"67","nginx","karrieretutor/nginx",0,"https://hub.docker.com/r/karrieretutor/nginx",7100,-1,"nginx",110,2,45,47
"68","nginx","magarvey/nginx",0,"https://hub.docker.com/r/magarvey/nginx",1100,-1,"nginx",119,1,18,19
"69","nginx","bnusunny/nginx",0,"https://hub.docker.com/r/bnusunny/nginx",6600,-1,"nginx",108,2,44,46
